"NIS"	"Gemeente"	"Postcode"
11001	"AARTSELAAR"	2630
11002	"ANTWERPEN"	2000
11004	"BOECHOUT"	2530
11005	"BOOM"	2850
11007	"BORSBEEK"	2150
11008	"BRASSCHAAT"	2930
11009	"BRECHT"	2960
11013	"EDEGEM"	2650
11016	"ESSEN"	2910
11018	"HEMIKSEM"	2620
11021	"HOVE"	2540
11022	"KALMTHOUT"	2920
11023	"KAPELLEN"	2950
11024	"KONTICH"	2550
11025	"LINT"	2547
11029	"MORTSEL"	2640
11030	"NIEL"	2845
11035	"RANST"	2520
11037	"RUMST"	2840
11038	"SCHELLE"	2627
11039	"SCHILDE"	2970
11040	"SCHOTEN"	2900
11044	"STABROEK"	2940
11050	"WIJNEGEM"	2110
11052	"WOMMELGEM"	2160
11053	"WUUSTWEZEL"	2990
11054	"ZANDHOVEN"	2240
11055	"ZOERSEL"	2980
11056	"ZWIJNDRECHT"	2070
11057	"MALLE"	2390
12002	"BERLAAR"	2590
12005	"BONHEIDEN"	2820
12007	"BORNEM"	2880
12009	"DUFFEL"	2570
12014	"HEIST-OP-DEN-BERG"	2220
12021	"LIER"	2500
12025	"MECHELEN"	2800
12026	"NIJLEN"	2560
12029	"PUTTE"	2580
12030	"PUURS"	2870
12034	"SINT-AMANDS"	2890
12035	"SINT-KATELIJNE-WAVER"	2860
12040	"WILLEBROEK"	2830
13001	"ARENDONK"	2370
13002	"BAARLE-HERTOG"	2387
13003	"BALEN"	2490
13004	"BEERSE"	2340
13006	"DESSEL"	2480
13008	"GEEL"	2440
13010	"GROBBENDONK"	2280
13011	"HERENTALS"	2200
13012	"HERENTHOUT"	2270
13013	"HERSELT"	2230
13014	"HOOGSTRATEN"	2320
13016	"HULSHOUT"	2235
13017	"KASTERLEE"	2460
13019	"LILLE"	2275
13021	"MEERHOUT"	2450
13023	"MERKSPLAS"	2330
13025	"MOL"	2400
13029	"OLEN"	2250
13031	"OUD-TURNHOUT"	2360
13035	"RAVELS"	2380
13036	"RETIE"	2470
13037	"RIJKEVORSEL"	2310
13040	"TURNHOUT"	2300
13044	"VORSELAAR"	2290
13046	"VOSSELAAR"	2350
13049	"WESTERLO"	2260
13053	"LAAKDAL"	2430
21001	"ANDERLECHT"	1070
21002	"OUDERGEM"	1160
21003	"SINT-AGATHA-BERCHEM"	1082
21004	"BRUSSEL"	1000
21005	"ETTERBEEK"	1040
21006	"EVERE"	1140
21007	"VORST"	1190
21008	"GANSHOREN"	1083
21009	"ELSENE"	1050
21010	"JETTE"	1090
21011	"KOEKELBERG"	1081
21012	"SINT-JANS-MOLENBEEK"	1080
21013	"SINT-GILLIS"	1060
21014	"SINT-JOOST-TEN-NODE"	1210
21015	"SCHAARBEEK"	1030
21016	"UKKEL"	1180
21017	"WATERMAAL-BOSVOORDE"	1170
21018	"SINT-LAMBRECHTS-WOLUWE"	1200
21019	"SINT-PIETERS-WOLUWE"	1150
23002	"ASSE"	1730
23003	"BEERSEL"	1650
23009	"BEVER"	1547
23016	"DILBEEK"	1700
23023	"GALMAARDEN"	1570
23024	"GOOIK"	1755
23025	"GRIMBERGEN"	1850
23027	"HALLE"	1500
23032	"HERNE"	1540
23033	"HOEILAART"	1560
23038	"KAMPENHOUT"	1910
23039	"KAPELLE-OP-DEN-BOS"	1880
23044	"LIEDEKERKE"	1770
23045	"LONDERZEEL"	1840
23047	"MACHELEN"	1830
23050	"MEISE"	1860
23052	"MERCHTEM"	1785
23060	"OPWIJK"	1745
23062	"OVERIJSE"	3090
23064	"PEPINGEN"	1670
23077	"SINT-PIETERS-LEEUW"	1600
23081	"STEENOKKERZEEL"	1820
23086	"TERNAT"	1740
23088	"VILVOORDE"	1800
23094	"ZAVENTEM"	1930
23096	"ZEMST"	1980
23097	"ROOSDAAL"	1760
23098	"DROGENBOS"	1620
23099	"KRAAINEM"	1950
23100	"LINKEBEEK"	1630
23101	"SINT-GENESIUS-RODE"	1640
23102	"WEMMEL"	1780
23103	"WEZEMBEEK-OPPEM"	1970
23104	"LENNIK"	1750
23105	"AFFLIGEM"	1790
24001	"AARSCHOT"	3200
24007	"BEGIJNENDIJK"	3130
24008	"BEKKEVOORT"	3460
24009	"BERTEM"	3060
24011	"BIERBEEK"	3360
24014	"BOORTMEERBEEK"	3190
24016	"BOUTERSEM"	3370
24020	"DIEST"	3290
24028	"GEETBETS"	3450
24033	"HAACHT"	3150
24038	"HERENT"	3020
24041	"HOEGAARDEN"	3320
24043	"HOLSBEEK"	3220
24045	"HULDENBERG"	3040
24048	"KEERBERGEN"	3140
24054	"KORTENAKEN"	3470
24055	"KORTENBERG"	3070
24059	"LANDEN"	3400
24062	"LEUVEN"	3000
24066	"LUBBEEK"	3210
24086	"OUD-HEVERLEE"	3050
24094	"ROTSELAAR"	3110
24104	"TERVUREN"	3080
24107	"TIENEN"	3300
24109	"TREMELO"	3120
24130	"ZOUTLEEUW"	3440
24133	"LINTER"	3350
24134	"SCHERPENHEUVEL-ZICHEM"	3270
24135	"TIELT-WINGE"	3390
24137	"GLABBEEK"	3380
31003	"BEERNEM"	8730
31004	"BLANKENBERGE"	8370
31005	"BRUGGE"	8000
31006	"DAMME"	8340
31012	"JABBEKE"	8490
31022	"OOSTKAMP"	8020
31033	"TORHOUT"	8820
31040	"ZEDELGEM"	8210
31042	"ZUIENKERKE"	8377
31043	"KNOKKE-HEIST"	8300
32003	"DIKSMUIDE"	8600
32006	"HOUTHULST"	8650
32010	"KOEKELARE"	8680
32011	"KORTEMARK"	8610
32030	"LO-RENINGE"	8647
33011	"IEPER"	8900
33016	"MESEN"	8957
33021	"POPERINGE"	8970
33029	"WERVIK"	8940
33037	"ZONNEBEKE"	8980
33039	"HEUVELLAND"	8950
33040	"LANGEMARK-POELKAPELLE"	8920
33041	"VLETEREN"	8640
34002	"ANZEGEM"	8570
34003	"AVELGEM"	8580
34009	"DEERLIJK"	8540
34013	"HARELBEKE"	8530
34022	"KORTRIJK"	8500
34023	"KUURNE"	8520
34025	"LENDELEDE"	8860
34027	"MENEN"	8930
34040	"WAREGEM"	8790
34041	"WEVELGEM"	8560
34042	"ZWEVEGEM"	8550
34043	"SPIERE-HELKIJN"	8587
35002	"BREDENE"	8450
35005	"GISTEL"	8470
35006	"ICHTEGEM"	8480
35011	"MIDDELKERKE"	8430
35013	"OOSTENDE"	8400
35014	"OUDENBURG"	8460
35029	"DE HAAN"	8420
36006	"HOOGLEDE"	8830
36007	"INGELMUNSTER"	8770
36008	"IZEGEM"	8870
36010	"LEDEGEM"	8880
36011	"LICHTERVELDE"	8810
36012	"MOORSLEDE"	8890
36015	"ROESELARE"	8800
36019	"STADEN"	8840
37002	"DENTERGEM"	8720
37007	"MEULEBEKE"	8760
37010	"OOSTROZEBEKE"	8780
37011	"PITTEM"	8740
37012	"RUISELEDE"	8755
37015	"TIELT"	8700
37017	"WIELSBEKE"	8710
37018	"WINGENE"	8750
37020	"ARDOOIE"	8850
38002	"ALVERINGEM"	8690
38008	"DE PANNE"	8660
38014	"KOKSIJDE"	8670
38016	"NIEUWPOORT"	8620
38025	"VEURNE"	8630
41002	"AALST"	9300
41011	"DENDERLEEUW"	9470
41018	"GERAARDSBERGEN"	9500
41024	"HAALTERT"	9450
41027	"HERZELE"	9550
41034	"LEDE"	9340
41048	"NINOVE"	9400
41063	"SINT-LIEVENS-HOUTEM"	9520
41081	"ZOTTEGEM"	9620
41082	"ERPE-MERE"	9420
42003	"BERLARE"	9290
42004	"BUGGENHOUT"	9255
42006	"DENDERMONDE"	9200
42008	"HAMME"	9220
42010	"LAARNE"	9270
42011	"LEBBEKE"	9280
42023	"WAASMUNSTER"	9250
42025	"WETTEREN"	9230
42026	"WICHELEN"	9260
42028	"ZELE"	9240
43002	"ASSENEDE"	9960
43005	"EEKLO"	9900
43007	"KAPRIJKE"	9970
43010	"MALDEGEM"	9990
43014	"SINT-LAUREINS"	9980
43018	"ZELZATE"	9060
44001	"AALTER"	9880
44011	"DEINZE"	9800
44012	"DE PINTE"	9840
44013	"DESTELBERGEN"	9070
44019	"EVERGEM"	9940
44020	"GAVERE"	9890
44021	"GENT"	9000
44029	"KNESSELARE"	9910
44034	"LOCHRISTI"	9080
44036	"LOVENDEGEM"	9920
44040	"MELLE"	9090
44043	"MERELBEKE"	9820
44045	"MOERBEKE"	9180
44048	"NAZARETH"	9810
44049	"NEVELE"	9850
44052	"OOSTERZELE"	9860
44064	"SINT-MARTENS-LATEM"	9830
44072	"WAARSCHOOT"	9950
44073	"WACHTEBEKE"	9185
44080	"ZOMERGEM"	9930
44081	"ZULTE"	9870
45017	"KRUISHOUTEM"	9770
45035	"OUDENAARDE"	9700
45041	"RONSE"	9600
45057	"ZINGEM"	9750
45059	"BRAKEL"	9660
45060	"KLUISBERGEN"	9690
45061	"WORTEGEM-PETEGEM"	9790
45062	"HOREBEKE"	9667
45063	"LIERDE"	9570
45064	"MAARKEDAL"	9680
45065	"ZWALM"	9630
46003	"BEVEREN"	9120
46013	"KRUIBEKE"	9150
46014	"LOKEREN"	9160
46020	"SINT-GILLIS-WAAS"	9170
46021	"SINT-NIKLAAS"	9100
46024	"STEKENE"	9190
46025	"TEMSE"	9140
71002	"AS"	3570
71004	"BERINGEN"	3580
71011	"DIEPENBEEK"	3590
71016	"GENK"	3600
71017	"GINGELOM"	3890
71020	"HALEN"	3545
71022	"HASSELT"	3500
71024	"HERK-DE-STAD"	3540
71034	"LEOPOLDSBURG"	3970
71037	"LUMMEN"	3560
71045	"NIEUWERKERKEN"	3850
71047	"OPGLABBEEK"	3660
71053	"SINT-TRUIDEN"	3800
71057	"TESSENDERLO"	3980
71066	"ZONHOVEN"	3520
71067	"ZUTENDAAL"	3690
71069	"HAM"	3945
71070	"HEUSDEN-ZOLDER"	3550
72003	"BOCHOLT"	3950
72004	"BREE"	3960
72018	"KINROOI"	3640
72020	"LOMMEL"	3920
72021	"MAASEIK"	3680
72025	"NEERPELT"	3910
72029	"OVERPELT"	3900
72030	"PEER"	3990
72037	"HAMONT-ACHEL"	3930
72038	"HECHTEL-EKSEL"	3940
72039	"HOUTHALEN-HELCHTEREN"	3530
72040	"MEEUWEN-GRUITRODE"	3670
72041	"DILSEN-STOKKEM"	3650
73001	"ALKEN"	3570
73006	"BILZEN"	3740
73009	"BORGLOON"	3840
73022	"HEERS"	3870
73028	"HERSTAPPE"	3717
73032	"HOESELT"	3730
73040	"KORTESSEM"	3720
73042	"LANAKEN"	3620
73066	"RIEMST"	3770
73083	"TONGEREN"	3700
73098	"WELLEN"	3830
73107	"MAASMECHELEN"	3630
73109	"VOEREN"	3790
